file,sensor,anomalies_detected,estimated_loss,plot_file,result_csv,report_file
100.csv,0,4831,49.7381821626174,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\100.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\100.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\100_report.txt
109.csv,0,2432,49.848732054866396,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\109.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\109.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\109_report.txt
110.csv,0,4856,49.93583204448978,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\110.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\110.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\110_report.txt
111.csv,0,4800,49.4190176734762,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\111.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\111.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\111_report.txt
112.csv,0,4813,49.55286084634186,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\112.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\112.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\112_report.txt
174.csv,0,636,49.85263685959742,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\174.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\174.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\174_report.txt
175.csv,0,4817,49.24099156657296,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\175.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\175.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\175_report.txt
176.csv,0,4870,49.901222221311414,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\176.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\176.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\176_report.txt
177.csv,0,4826,49.74611545304424,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\177.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\177.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\177_report.txt
213.csv,0,2440,49.93062916685425,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\213.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\213.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\213_report.txt
214.csv,0,4834,49.828578968092806,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\214.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\214.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\214_report.txt
215.csv,0,4784,48.6726924219548,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\215.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\215.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\215_report.txt
217.csv,0,4784,48.6726924219548,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\217.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\217.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\217_report.txt
97.csv,0,2440,50.012708147152146,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\97.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\97.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\97_report.txt
98.csv,0,4817,49.77237173565777,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\98.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\98.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\98_report.txt
99.csv,0,0,0.0,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\99.png,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\99.csv,C:\Oraculum_Systems\05_Products\Oraculum-Industrial-Soft-Sensor\data\results\99_report.txt
